decade,timeline
2010,"met,   1,romantic,  5,lived,  4,married,-99"
2010,"met,   2,romantic,  5,lived,  3,married,-99"
2010,"met,   1,romantic,  4,lived,  2,married,-99"
2010,"met,   1,romantic,  4,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  8,married,-99"
2010,"met,   2,romantic,  2,lived,  5,married,-99"
2010,"met,   1,romantic,  4,lived,  5,married,-99"
2010,"met,   1,romantic, 22,lived, 56,married,-99"
2010,"met,   2,romantic,  4,lived,  5,married,-99"
2010,"met,   1,romantic,  4,lived,  2,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  3,lived,  6,married,-99"
2010,"met,   1,romantic,  3,lived,  8,married,-99"
2010,"met,   1,romantic,  4,lived, 12,married,-99"
2010,"met,   2,romantic,  3,lived, 34,married,-99"
2010,"met,   1,romantic, 14,lived,  3,married,-99"
2010,"met,   2,romantic, 16,lived,  4,married,-99"
2010,"met,   1,romantic,  6,lived, 99,married,-99"
2010,"met,   1,romantic,  5,lived,  8,married,-99"
2010,"met,   2,romantic,  2,lived,  4,married,-99"
2010,"met,   1,romantic,  2,lived,  3,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  8,lived,  6,married,-99"
2010,"met,   2,romantic,  4,lived,  7,married,-99"
2010,"met,   1,romantic, 26,lived, 35,married,-99"
2010,"met,   2,romantic,  5,lived,  6,married,-99"
2010,"met,   1,romantic,  3,lived,  9,married,-99"
2010,"met,   2,romantic,  3,lived,  6,married,-99"
2010,"met,   2,romantic,  3,lived,  8,married,-99"
2010,"met,   1,romantic,  3,lived, 12,married,-99"
2010,"met,   2,romantic,  6,lived, 13,married,-99"
2010,"met,   2,romantic,  8,lived, 13,married,-99"
2010,"met,   1,romantic, 12,lived, 16,married,-99"
2010,"met,   2,romantic, 34,lived, 13,married,-99"
2010,"met,   2,romantic,  9,lived, 15,married,-99"
2010,"met,   2,romantic, 10,lived,  8,married,-99"
2010,"met,   2,romantic,  4,lived, 32,married,-99"
2010,"met,   1,romantic, 11,lived,102,married,-99"
2010,"met,   1,romantic,  3,lived,  1,married,-99"
2010,"met,   2,romantic,  6,lived,  3,married,-99"
2010,"met,   2,romantic,  6,lived,  5,married,-99"
2010,"met,   1,romantic,  5,lived,  3,married,-99"
2010,"met,   2,romantic,  6,lived,  4,married,-99"
2010,"met,   1,romantic,  2,lived,  7,married,-99"
2010,"met,   1,romantic,  9,lived,  8,married,-99"
2010,"met,   2,romantic,  6,lived, 10,married,-99"
2010,"met,   2,romantic,  8,lived, 11,married,-99"
2010,"met,   2,romantic, 14,lived,  3,married,-99"
2010,"met,   2,romantic, 13,lived,  4,married,-99"
2010,"met,   1,romantic, 18,lived,  3,married,-99"
2010,"met,   1,romantic, 15,lived,  2,married,-99"
2010,"met,   2,romantic, 15,lived,  2,married,-99"
2010,"met,   1,romantic, 14,lived,  5,married,-99"
2010,"met,   1,romantic, 16,lived,  5,married,-99"
2010,"met,   2,romantic, 16,lived,  7,married,-99"
2010,"met,   1,romantic, 14,lived,  6,married,-99"
2010,"met,   2,romantic,  6,lived,  5,married,-99"
2010,"met,   2,romantic,  1,lived,  9,married,-99"
2010,"met,   1,romantic,  4,lived,  1,married,-99"
2010,"met,   1,romantic,  1,lived,  4,married,-99"
2010,"met,   2,romantic,  3,lived, 49,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic,  7,lived,  0,married,-99"
2010,"met,   1,romantic,  7,lived,  6,married,-99"
2010,"met,   2,romantic, 11,lived,  6,married,-99"
2010,"met,   1,romantic,  2,lived, 12,married,-99"
2010,"met,   2,romantic,  4,lived, 14,married,-99"
2010,"met,   1,romantic,  3,lived, 15,married,-99"
2010,"met,   2,romantic,  2,lived,  7,married,-99"
2010,"met,   1,romantic,  4,lived, 18,married,-99"
2010,"met,   2,romantic,  6,lived, 20,married,-99"
2010,"met,   5,romantic,  8,lived, 23,married,-99"
2010,"met,   1,romantic,  6,lived, 22,married,-99"
2010,"met,   1,romantic, 14,lived, 15,married,-99"
2010,"met,   2,romantic,  5,lived, 15,married,-99"
2010,"met,   2,romantic,  9,lived, 13,married,-99"
2010,"met,   1,romantic,  5,lived, 20,married,-99"
2010,"met,   2,romantic, 49,lived,134,married,-99"
2010,"met,   2,romantic, 11,lived,  4,married,-99"
2010,"met,   2,romantic,  3,lived, 13,married,-99"
2010,"met,   2,romantic,  4,lived, 13,married,-99"
2010,"met,   2,romantic,  5,lived, 10,married,-99"
2010,"met,   2,romantic,  8,lived,  2,married,-99"
2010,"met,   1,romantic,  4,lived, 57,married,-99"
2010,"met,   1,romantic, 12,lived, 55,married,-99"
2010,"met,   2,romantic,  4,lived, 44,married,-99"
2010,"met,   1,romantic, 15,lived, 39,married,-99"
2010,"met,   2,romantic, 19,lived, 54,married,-99"
2010,"met,   2,romantic,  7,lived, 50,married,-99"
2010,"met,   1,romantic,  6,lived, 49,married,-99"
2010,"met,   1,romantic, 18,lived, 15,married,-99"
2010,"met,   1,romantic, 15,lived, 32,married,-99"
2010,"met,   2,romantic, 15,lived, 23,married,-99"
2010,"met,   1,romantic, 20,lived, 27,married,-99"
2010,"met,   2,romantic, 12,lived, 44,married,-99"
2010,"met,   2,romantic,  3,lived, 14,married,-99"
2010,"met,   1,romantic, 12,lived, 24,married,-99"
2010,"met,   1,romantic, 14,lived, 49,married,-99"
2010,"met,   2,romantic, 12,lived, 35,married,-99"
2010,"met,   2,romantic, 13,lived, 36,married,-99"
2010,"met,   1,romantic, 14,lived, 37,married,-99"
2010,"met,   1,romantic,  7,lived, 42,married,-99"
2010,"met,   1,romantic, 11,lived, 11,married,-99"
2010,"met,   2,romantic,  8,lived,  7,married,-99"
2010,"met,   2,romantic,  6,lived,  6,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   2,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic,  8,lived,  8,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic,  3,lived,  2,married,-99"
2010,"met,   2,romantic,  4,lived,  4,married,-99"
2010,"met,   1,romantic,  9,lived,  9,married,-99"
2010,"met,   1,romantic,  5,lived,  4,married,-99"
2010,"met,   2,romantic,  3,lived,  2,married,-99"
2010,"met,   1,romantic,  2,lived,  2,married,-99"
2010,"met,   2,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  3,lived,  4,married,-99"
2010,"met,   6,romantic, 15,lived, 12,married,-99"
2010,"met,   2,romantic,  8,lived,  8,married,-99"
2010,"met,   2,romantic,  7,lived,  7,married,-99"
2010,"met,   2,romantic,  6,lived,  5,married,-99"
2010,"met,   1,romantic,  7,lived,  7,married,-99"
2010,"met,   1,romantic, 14,lived, 13,married,-99"
2010,"met,   2,romantic,  6,lived,  5,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   2,romantic,  4,lived,  5,married,-99"
2010,"met,   1,romantic,  5,lived,  5,married,-99"
2010,"met,   2,romantic, 13,lived, 13,married,-99"
2010,"met,   1,romantic,  3,lived,  3,married,-99"
2010,"met,   1,romantic,  8,lived,  8,married,-99"
2010,"met,   2,romantic, 10,lived, 10,married,-99"
2010,"met,   2,romantic, 27,lived, 27,married,-99"
